Location,Service provider,Open
Economics- and social science building canteenAkadeemia tee 3SOC- building,Rahva Toit,8.30-18.30Saturday: 8.30-15.30Sunday: closed
Rahva Toit,8.30-18.30Saturday: 8.30-15.30Sunday: closed,Libary canteenAkadeemia tee 1/Ehitajate tee 7
8.30-18.30Saturday: 8.30-15.30Sunday: closed,Libary canteenAkadeemia tee 1/Ehitajate tee 7, Rahva Toit
Libary canteenAkadeemia tee 1/Ehitajate tee 7, Rahva Toit,8.30-19.00Saturday/Sunday: closed
 Rahva Toit,8.30-19.00Saturday/Sunday: closed,Main building Deli cafeEhitajate tee 5U01 building
8.30-19.00Saturday/Sunday: closed,Main building Deli cafeEhitajate tee 5U01 building,Baltic Restaurants Estonia AS
Main building Deli cafeEhitajate tee 5U01 building,Baltic Restaurants Estonia AS,Monday-Thursday: 9.00-16.30Friday: 9.00-16.00Saturday/Sunday: closed
Baltic Restaurants Estonia AS,Monday-Thursday: 9.00-16.30Friday: 9.00-16.00Saturday/Sunday: closed,Main building Daily lunch restaurantEhitajate tee 5U01 building
Monday-Thursday: 9.00-16.30Friday: 9.00-16.00Saturday/Sunday: closed,Main building Daily lunch restaurantEhitajate tee 5U01 building,Baltic Restaurants Estonia AS
Main building Daily lunch restaurantEhitajate tee 5U01 building,Baltic Restaurants Estonia AS,9.00-16.30Friday: 9.00-16.00Saturday/Sunday: closed
Baltic Restaurants Estonia AS,9.00-16.30Friday: 9.00-16.00Saturday/Sunday: closed,U06 building canteen
9.00-16.30Friday: 9.00-16.00Saturday/Sunday: closed,U06 building canteen,Rahva toit
U06 building canteen,Rahva toit,9.00-16.00Saturday/Sunday: closed
Rahva toit,9.00-16.00Saturday/Sunday: closed,Natural Science building canteenAkadeemia tee 15SCI building
9.00-16.00Saturday/Sunday: closed,Natural Science building canteenAkadeemia tee 15SCI building,Baltic Restaurants Estonia AS
Natural Science building canteenAkadeemia tee 15SCI building,Baltic Restaurants Estonia AS,9.00-16.00Saturday/Sunday: closed
Baltic Restaurants Estonia AS,9.00-16.00Saturday/Sunday: closed,ICT building canteenRaja 15/Mäepealse 1
9.00-16.00Saturday/Sunday: closed,ICT building canteenRaja 15/Mäepealse 1,Baltic Restaurants Estonia AS
ICT building canteenRaja 15/Mäepealse 1,Baltic Restaurants Estonia AS,9.00-16.00Saturday/Sunday: closed
Baltic Restaurants Estonia AS,9.00-16.00Saturday/Sunday: closed,Sports building canteenMänniliiva 7S01 building
9.00-16.00Saturday/Sunday: closed,Sports building canteenMänniliiva 7S01 building,TTÜ Sport OÜ
Sports building canteenMänniliiva 7S01 building,TTÜ Sport OÜ,11.00-20.00Saturday/Sunday: By agreement
